"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
18005010;"VOX LUX";"VOX LUX";2018;"BRADY CORBET";"2019-02-19"
19000255;"REPLICAS";"CÓPIAS - DE VOLTA À VIDA";2019;"JEFFREY NACHMANOFF";"2019-02-19"
19000337;"HELLBOY: RISE OF THE BLOOD QUEEN";"HELLBOY";2019;"NEIL MARSHALL";"2019-02-19"
19000345;"ALASKA";"ALASKA";2018;"PEDRO DA COSTA NOVAES";"2019-02-19"
19000462;"EL SILENCIO DE OTROS";"O SILÊNCIO DOS OUTROS";2018;"ALMUDENA CARRACEDO";"2019-02-19"
19000637;"MUSSUM, UM FILME DO CACILDIS";"MUSSUM, UM FILME DO CACILDIS";2019;"SUSANA MARA DA SILVA LIRA";"2019-02-19"
19000739;"HOTEL MUMBAI";"HOTEL MUMBAI";2018;"ANTHONY MARAS";"2019-02-19"
19000585;"FILHOS DE TANQUINHO";"FILHOS DE TANQUINHO";2018;"JOSE ADERALDO DE MIRANDA SOUZA";"2019-02-15"
19000569;"DUMBO";"DUMBO";2019;"TIM BURTON";"2019-02-14"
19000609;"SHAZAM!";"SHAZAM!";2018;"DAVID F. SANDBERG";"2019-02-14"
19000626;"GODZILLA - KING OF THE MONSTERS";"GODZILLA II - REI DOS MONSTROS";2018;"MICHAEL DOUGHERTY";"2019-02-14"
19000627;"POKEMON DETECTIVE PIKACHU";"POKÉMON DETETIVE PIKACHU";2018;"ROB LETTERMAN";"2019-02-14"
19000628;"THE GOOD LIAR";"A GRANDE MENTIRA";2018;"BILL CONDON";"2019-02-14"
18005150;"CHUVA É CANTORIA NA ALDEIA DOS MORTOS";"CHUVA É CANTORIA NA ALDEIA DOS MORTOS";2018;"JOÃO SALAVIZA MANSO FELDMAN DA SILVA";"2019-02-13"
18005470;"ELEIÇÕES";"ELEIÇÕES";2018;"ALICE FANNY RIFF";"2019-02-12"
19000545;"O FIO DA MEADA";"O FIO DA MEADA";2018;"ANDERSON SANTOS BORGES";"2019-02-12"
19000597;"GLORIA BELL";"GLORIA BELL";2018;"SEBASTIAN LELIO";"2019-02-12"
18004218;"ELEGIA DE UM CRIME";"ELEGIA DE UM CRIME";2018;"CRISTIANO BURLAN DA SILVA";"2019-02-11"
18004699;"CAPHARNAÜM";"CAFARNAUM";2018;"NADINE LABAKI";"2019-02-11"
18006067;"ZAATARI, O FILME";"ZAATARI, O FILME";2017;"JOSE PASCHOAL SAMORA NETO";"2019-02-11"
19000567;"CAPTIVE STATE";"A REBELIÃO";2018;"RUPERT WYATT";"2019-02-11"
